,channel_id,video_id,video_titlepublished_date,type,video_title,published_date
24,UCvShfJtvC2owV0AFi_qyykA,7ulv5LFVV64,,youtube#video,Math models Mind,2019-01-19T21:49:58Z
25,UCvShfJtvC2owV0AFi_qyykA,GUou2cUQoGI,,youtube#video,The Animal Human Continuum,2018-12-15T21:52:53Z
26,UCvShfJtvC2owV0AFi_qyykA,FYKk3JHDLa4,,youtube#video,The Beauty and Unity of Mathematics,2018-12-01T22:27:22Z
27,UCvShfJtvC2owV0AFi_qyykA,bAjBYEjeP6E,,youtube#video,The Future of Psychiatry,2018-11-10T22:17:48Z
28,UCvShfJtvC2owV0AFi_qyykA,CgYogW-69PI,,youtube#video,Creative Turbulence,2018-06-15T01:37:08Z
29,UCvShfJtvC2owV0AFi_qyykA,oAK_olUjP5Y,,youtube#video,Boredom (Edit),2018-05-21T20:02:57Z
30,UCvShfJtvC2owV0AFi_qyykA,iZgcMEoLCjA,,youtube#video,The Completeness of Physics,2018-05-12T21:07:20Z
31,UCvShfJtvC2owV0AFi_qyykA,ZQhoCytYphs,,youtube#video,Boredom,2018-04-21T21:10:53Z
32,UCvShfJtvC2owV0AFi_qyykA,Sqqt1kU52I8,,youtube#video,Transhumanist Predictions and the Human Predicament (Edit),2018-03-15T21:01:17Z
33,UCvShfJtvC2owV0AFi_qyykA,I24lF7gtynM,,youtube#video,"Mind Matters: Past, Present, and Future (Edit)",2018-02-12T19:51:45Z
34,UCvShfJtvC2owV0AFi_qyykA,g7UhiuJy1WM,,youtube#video,"Science, Art &amp; Society Roundtable #2",2017-12-03T16:37:50Z
35,UCvShfJtvC2owV0AFi_qyykA,a8PjUo0NULE,,youtube#video,STEAM &amp; the Future of Education Roundtable #2,2017-12-02T23:32:33Z
36,UCvShfJtvC2owV0AFi_qyykA,xBnYk-DAU5k,,youtube#video,Science-Art Collaboration Roundtable #2,2017-12-02T20:55:39Z
37,UCvShfJtvC2owV0AFi_qyykA,tPB_9JC02Xg,,youtube#video,"Science, Art &amp; Society Roundtable #1",2017-12-02T18:12:15Z
38,UCvShfJtvC2owV0AFi_qyykA,4OV_LIuSo8g,,youtube#video,STEAM &amp; the Future of Education Roundtable #1,2017-12-02T16:07:53Z
39,UCvShfJtvC2owV0AFi_qyykA,SwKBVfcT8Uo,,youtube#video,Science-Art Collaboration Roundtable #1,2017-12-02T02:41:43Z
40,UCvShfJtvC2owV0AFi_qyykA,m8GWT94Q9r4,,youtube#video,American Poetry Today,2017-11-18T21:35:41Z
41,UCvShfJtvC2owV0AFi_qyykA,gHHnQuR5R70,,youtube#video,“Fake” Knowledge: Knowing and the Illusion of Knowing,2017-10-14T20:29:20Z
42,UCvShfJtvC2owV0AFi_qyykA,yotM-QjF-jY,,youtube#video,"Complexity and Emergence II: Visions of Cosmic Order, from Particles to People",2017-05-22T18:11:11Z
43,UCvShfJtvC2owV0AFi_qyykA,d1EUjQMgIMU,,youtube#video,Design in Nature,2017-04-22T20:58:08Z
44,UCvShfJtvC2owV0AFi_qyykA,Zv4cXpKLdhw,,youtube#video,Music to Whose Ears III: Music and Healing,2017-03-11T22:03:37Z
45,UCvShfJtvC2owV0AFi_qyykA,p5-V1j7blqU,,youtube#video,The Displaced and The Other,2017-02-25T22:23:38Z
46,UCvShfJtvC2owV0AFi_qyykA,LiiWsIVkkd8,,youtube#video,Pain (Edit),2017-02-13T16:56:38Z
47,UCvShfJtvC2owV0AFi_qyykA,o5NooKzB4QI,,youtube#video,Library as Reality and Metaphor (Edit),2017-01-30T16:46:51Z
48,UCvShfJtvC2owV0AFi_qyykA,nQwDoCzCt18,,youtube#video,Autism and the Mind/Brain (Edit),2016-11-11T23:27:48Z
49,UCvShfJtvC2owV0AFi_qyykA,k6HPcQLENrk,,youtube#video,Embodied AI,2016-10-22T21:15:45Z
50,UCvShfJtvC2owV0AFi_qyykA,k6HPcQLENrk,,youtube#video,Embodied AI,2016-10-22T21:15:45Z
51,UCvShfJtvC2owV0AFi_qyykA,0vSxqYAUPYo,,youtube#video,Happiness (edit),2016-10-03T18:37:37Z
52,UCvShfJtvC2owV0AFi_qyykA,Of3JFmGvWQA,,youtube#video,The Electorate: 2016 (Cocktail Benefit Reception and Roundtable),2016-09-29T07:01:17Z
53,UCvShfJtvC2owV0AFi_qyykA,04cydVyp6io,,youtube#video,"Fear: Wherefore, Whence? (Edit)",2016-05-10T19:03:51Z
54,UCvShfJtvC2owV0AFi_qyykA,apAuqp_yADU,,youtube#video,Understanding Genius II: Women,2016-03-26T20:45:30Z
55,UCvShfJtvC2owV0AFi_qyykA,_es96clsC9U,,youtube#video,The Meditative State,2016-03-12T22:21:39Z
56,UCvShfJtvC2owV0AFi_qyykA,cuYsZ4Qw4Vg,,youtube#video,Helix: An Unhurried Search for Wisdom,2016-02-23T20:15:16Z
57,UCvShfJtvC2owV0AFi_qyykA,AnHIv_d02z0,,youtube#video,"Genes, Computers, and Medicine (edit)",2016-02-23T18:45:54Z
58,UCvShfJtvC2owV0AFi_qyykA,Ag8kHh9Sy9g,,youtube#video,A Freudian Perspective on What Ails the World Today - PT 4 Culture and Conclusion,2015-12-06T19:03:25Z
59,UCvShfJtvC2owV0AFi_qyykA,hDvZZlPYOMc,,youtube#video,A Freudian Perspective on What Ails the World Today - PT 2 Education and Civilizational Crisis,2015-12-06T01:40:49Z
60,UCvShfJtvC2owV0AFi_qyykA,YMRTnfNA84k,,youtube#video,A Freudian Perspective on What Ails the World Today - PT 1 - Introduction and Education,2015-12-06T01:30:20Z
61,UCvShfJtvC2owV0AFi_qyykA,OvXt6p1e3hw,,youtube#video,A Freudian Perspective on What Ails the World Today - PT  3 Identity,2015-12-05T23:03:24Z
62,UCvShfJtvC2owV0AFi_qyykA,UgpfbmJvOE8,,youtube#video,Translation Matters,2015-11-22T00:38:47Z
63,UCvShfJtvC2owV0AFi_qyykA,BC2KOO79YWA,,youtube#video,"Speak, Memory",2015-11-07T21:38:36Z
64,UCvShfJtvC2owV0AFi_qyykA,9lmzJ9fZDz0,,youtube#video,The Realm of Mystery,2015-10-24T21:15:25Z
65,UCvShfJtvC2owV0AFi_qyykA,8sJigvsBA6g,,youtube#video,Understanding Genius,2015-10-03T21:28:48Z
66,UCvShfJtvC2owV0AFi_qyykA,16ma9apgNes,,youtube#video,Epigenetics at Work,2015-09-12T20:42:14Z
67,UCvShfJtvC2owV0AFi_qyykA,vdwGaVmHRq8,,youtube#video,Human and Nonhuman Minds: Continuities and Discontinuities,2015-05-16T21:28:55Z
68,UCvShfJtvC2owV0AFi_qyykA,llK2uRqtrdI,,youtube#video,"Trauma and its Aftereffects, Part I: War and Genocide",2015-05-02T20:53:30Z
69,UCvShfJtvC2owV0AFi_qyykA,rifKjr_3QvM,,youtube#video,The Changing Nature of Free Will,2015-04-25T20:57:50Z
70,UCvShfJtvC2owV0AFi_qyykA,WXip39NrMSQ,,youtube#video,The Mind of a Child,2015-04-18T21:20:20Z
71,UCvShfJtvC2owV0AFi_qyykA,WoOhIKlkAiI,,youtube#video,Curiosity,2015-03-14T21:05:10Z
72,UCvShfJtvC2owV0AFi_qyykA,NA_4RoP9u2E,,youtube#video,Apprehending Consciousness (edit),2015-03-08T19:14:00Z
73,UCvShfJtvC2owV0AFi_qyykA,d3cSfgfZc18,,youtube#video,Helix Center Trailer 2015,2015-02-26T16:32:02Z
74,UCvShfJtvC2owV0AFi_qyykA,7ILsk4RZ0i8,,youtube#video,Particle Fever / The Quest,2015-02-23T23:35:44Z
75,UCvShfJtvC2owV0AFi_qyykA,vKqHyRj5v3w,,youtube#video,"Particle Fever Q&amp;A with Mark Levinson, Carla Solomon and Andrea Miller",2015-02-23T21:55:34Z
76,UCvShfJtvC2owV0AFi_qyykA,w9OyeYxdi1Y,,youtube#video,The Search for Immortality (edit),2015-02-23T21:41:32Z
77,UCvShfJtvC2owV0AFi_qyykA,HA6F4rcv2es,,youtube#video,The Sublime Experience,2015-02-07T21:40:27Z
78,UCvShfJtvC2owV0AFi_qyykA,nT0scDrB-Qw,,youtube#video,Music to Whose Ears II: Embodied Cognition (edit),2015-01-25T03:17:56Z
79,UCvShfJtvC2owV0AFi_qyykA,9XNV9hgPdEc,,youtube#video,French Surrealism - A Revolution of the Mind (Edit),2014-12-07T01:52:10Z
80,UCvShfJtvC2owV0AFi_qyykA,aGzlvI1R64c,,youtube#video,Complexity and Emergence,2014-11-15T22:37:51Z
81,UCvShfJtvC2owV0AFi_qyykA,5SQ1Vpc8TFE,,youtube#video,Synchronicity and Other Mind Matter Conjectures,2014-11-06T04:37:36Z
82,UCvShfJtvC2owV0AFi_qyykA,5rDxNjouzdg,,youtube#video,The Span of Infinity,2014-10-25T20:49:51Z
83,UCvShfJtvC2owV0AFi_qyykA,XkOZKCAYKdg,,youtube#video,Cancer: Body and Mind,2014-10-15T19:42:44Z
84,UCvShfJtvC2owV0AFi_qyykA,5CjbPI0fVm0,,youtube#video,Knowledge and Limitations,2014-09-20T21:09:42Z
85,UCvShfJtvC2owV0AFi_qyykA,UOlp0dYF9k4,,youtube#video,Responses: Poetry with Patrick Rosal and Jean Valentine,2014-06-14T20:24:59Z
86,UCvShfJtvC2owV0AFi_qyykA,_pftSvHpqMM,,youtube#video,Women and the Work World,2014-05-18T01:16:41Z
87,UCvShfJtvC2owV0AFi_qyykA,7-6zb_Jj2Jc,,youtube#video,Women and Science or STEMing the Tide of Gender-based Inequity,2014-04-26T20:58:17Z
88,UCvShfJtvC2owV0AFi_qyykA,rt7MQ-jJTjU,,youtube#video,Synchronicity On the Spectrum of Mind and Matter,2014-04-13T02:16:27Z
89,UCvShfJtvC2owV0AFi_qyykA,dIAn3Uxj-oE,,youtube#video,Identity and Fanaticism,2014-03-02T03:12:39Z
90,UCvShfJtvC2owV0AFi_qyykA,yASdsjkUpDo,,youtube#video,Biology of Mind,2014-02-23T21:10:52Z
91,UCvShfJtvC2owV0AFi_qyykA,1zKT448JlWc,,youtube#video,"From Children&#39;s Sights to Our Insights: Ethiopian Children&#39;s Drawings, Stories and Inner Lives",2014-01-26T00:06:36Z
92,UCvShfJtvC2owV0AFi_qyykA,Y9fixi1fh8E,,youtube#video,Secrecy and Transparency,2013-12-08T23:08:17Z
93,UCvShfJtvC2owV0AFi_qyykA,nqdI0fYfXFc,,youtube#video,"Warburg Symposium - Day 2 - Questions, Comments and Wrap up",2013-10-16T22:59:34Z
94,UCvShfJtvC2owV0AFi_qyykA,UO7FlZ9Gikw,,youtube#video,Warburg Symposium - Day 2 - Mnemosyne: Memory &amp; Unconscious,2013-10-16T22:29:07Z
95,UCvShfJtvC2owV0AFi_qyykA,osW4qI1OXnU,,youtube#video,Warburg Symposium Day 2 - Psychosis &amp; Creativity: Binswanger &amp; Warburg,2013-10-16T08:55:57Z
96,UCvShfJtvC2owV0AFi_qyykA,_WAGakD9klk,,youtube#video,Warburg Symposium Day 1- Classical &amp; Renaissance Art,2013-10-16T08:12:42Z
97,UCvShfJtvC2owV0AFi_qyykA,sq2EltoVZ3E,,youtube#video,Warburg Symposium Day 1 - An Eccentric Science,2013-10-16T05:46:22Z
98,UCvShfJtvC2owV0AFi_qyykA,11t4toF0sN0,,youtube#video,Warburg Symposium - Day 1 - Neuroesthetics,2013-10-13T23:55:14Z
99,UCvShfJtvC2owV0AFi_qyykA,nDYH963z1p0,,youtube#video,"The Amygdaloids Warburg Symposium Concert Friday, October 11th",2013-10-13T22:34:32Z
100,UCvShfJtvC2owV0AFi_qyykA,nDYH963z1p0,,youtube#video,"The Amygdaloids Warburg Symposium Concert Friday, October 11th",2013-10-13T22:34:32Z
101,UCvShfJtvC2owV0AFi_qyykA,TpLA7QypfP8,,youtube#video,Altruism and Empathy,2013-06-12T03:33:14Z
102,UCvShfJtvC2owV0AFi_qyykA,qJia-28TSbI,,youtube#video,Second Annual Heavy MeNtal Variety Show,2013-05-26T03:27:46Z
103,UCvShfJtvC2owV0AFi_qyykA,Mia4zhoPg-8,,youtube#video,Synthetic and Systems Biology: Reinventing the Code of Life,2013-05-14T00:31:35Z
104,UCvShfJtvC2owV0AFi_qyykA,KMeGefM6D34,,youtube#video,Ignorance and Curiosity,2013-04-28T01:43:07Z
105,UCvShfJtvC2owV0AFi_qyykA,jmtmb7djT2Y,,youtube#video,"Music to Whose Ears? Music, Emotion, and Mind",2013-04-14T22:47:52Z
106,UCvShfJtvC2owV0AFi_qyykA,KiIf_zfxJi4,,youtube#video,Elizabeth Bishop: A Conversation about Her Poetry,2013-03-17T00:31:17Z
107,UCvShfJtvC2owV0AFi_qyykA,fIoVTi4XC1M,,youtube#video,The Topology of Fear,2013-03-11T04:00:21Z
108,UCvShfJtvC2owV0AFi_qyykA,-AuAwuXXCBU,,youtube#video,"Love, the Interrogative",2013-02-24T20:40:47Z
109,UCvShfJtvC2owV0AFi_qyykA,O0Ea5cS4QwE,,youtube#video,Urdu Poetry: Ghalib and the Ghazal,2013-02-17T03:02:47Z
110,UCvShfJtvC2owV0AFi_qyykA,yLI8xnwkj4U,,youtube#video,Animal Language,2012-11-18T06:19:00Z
111,UCvShfJtvC2owV0AFi_qyykA,zMyKsnjYZTI,,youtube#video,Male Male Competition Globalization War and Violence,2012-10-28T01:18:21Z
112,UCvShfJtvC2owV0AFi_qyykA,QNiHZGX550c,,youtube#video,Life and Movement,2012-10-28T00:07:41Z
113,UCvShfJtvC2owV0AFi_qyykA,zL9TD9GvU2o,,youtube#video,Why Do Economists Disagree?,2012-10-17T19:02:25Z
114,UCvShfJtvC2owV0AFi_qyykA,96dMj4pf2-I,,youtube#video,Collaborations Jazz and  Poetry,2012-10-15T22:58:01Z
115,UCvShfJtvC2owV0AFi_qyykA,X9lMxn_SDps,,youtube#video,Where Does It End?,2012-09-23T09:59:32Z
116,UCvShfJtvC2owV0AFi_qyykA,FEEzQ5Kaqqo,,youtube#video,Where Does It Begin?,2012-09-21T05:26:48Z
117,UCvShfJtvC2owV0AFi_qyykA,59oTDSgemtE,,youtube#video,What Can Mathematics Teach Us About Mind/Brain?,2012-09-18T01:01:01Z
